,content,type_text
78059,"СХДүүргийн 25 дугаар хороонд оршин суудаг Билэгжав гэдэг хүн байна. СХДүүргийн 14 дүгээр төвд баярласнаа илэрхийлэх гэсэн юм. СХДүүргийн 14 дүгээр төвийн 4 дүгээр тасгийн Долгор эрхлэгчтэй хамт олон байнга намайг авч, хэвтүүлж, эмчилж, эдгээдэг юм. Ер нь янзын хүнд ороод сайхан болдог юм. Би уржинан бас ингэж өвдөж байсан. Энэ удаад бол маш хүнд орсон бөгөөд их гоё болоод гараад ирсэн. Долгор эрхлэгчтэй тасгийн хамт олонд, сувилагч Энхмаа, эмчлэгч эмч Долгор, тасгийн эрхлэгч нь өөрөө бас эмчилж байсан, мөн бусад асрагч, сувилагч нарт баярлалаа гэж хэлэх гэсэн юм. Бүх үр хүүхдүүдийнхээ хамтаар баярлалаа гэж хэлэх гэсэн юм.",Талархал
78073,"Түргэний эмч, жолооч нарт талархал илэрхийлэх гэсэн юм. 10 сарын 22-ноос 23-нд шилжих шөнийн 01:30-д түргэн дуудаад манай дүү гэртээ төрсөн юм. Эх баригч их эмч Ариунжаргал, жолооч Энхбаяр нарт баярлалаа гэж хэлэх гэсэн юм. Маш их баярлалаа гэж дамжуулаад өгөөрэй. Ажилд нь амжилт, сайн сайхныг хүсье.",Талархал
78077,"УИХ-ын гишүүн Т. Аюурсайханд.  Ерөнхий сайд У. Хүрэлсүхийн ЗГ-ын танхимыг бүрэлдүүлэхэд УИХ-ын эрхэм залуу гишүүн Аюурсайхан та урьдын адил зөвд зөөлөн, бурууд хатуу, шударга үг, бодлоо хэлсэнд Монголын сонгогч ард түмэн чинь болон миний бие хувиасаа маш хүндэтгэлтэйгээр талархаж байна. Байнгын ийм үнэнч шударга үг, үйлдлээ ард түмэндээ харуулж байгаад төрийн эрхэм түшээ, УИХ-ын гишүүн танд дахин, дахин талархаж байгаагаа илэрхийлье. Талархал илэрхийлсэн Багануур дүүргийн 1 дүгээр хорооны иргэн Ж. Цэдэнсодном",Талархал
78079,"ХЗДХ-ийн сайд Ц. Нямдоржид. УИХ-д 7 дахь удаагаа сонгогдсон эрхэм хүндтэй төрийн түшээ та дээрхи яамны сайдаар томилогдсон даруйдаа, Нэгдүгээрт Эрдэнэт ХК-ий 49 хувийн тухай, мөн Зориг агсаны хэргийн захиалагчийг илрүүлэх тухай, түүнчлэн Цагдаагийн удирдах бүрэлдэхүүнтэй уулзахдаа Цагдаа нь зөвхөн төрийн албан хаагч бөгөөд иргэдийнхээ амгалан тайван байдлын төлөө явдаг хууль сахиулагч болохоос биш улс төрчдөд үйлчилдэг цагдаагийн албан хаагч байж болохгүй юм гэсэнд талархаж байна. Цагдаагийн удирдах ажилчдад мэдээлж байгааг сонсож, мэдсэн Монголын чинь ард түмэн таниар бахархаж, танд талархаж байна. Мөн иргэн би таны дээрхи үйлдэлд тань маш ихээр талархаж байна. Багануур дүүргийн 1 дүгээр хорооны иргэн Ж. Цэдэнсодном",Талархал
78091,"ХУДүүргийн Нэгдсэн эмнэлгийн сэхээн амьдруулах тасгийн эмч Ариунцэцэг, сувилагч Оюунбилэг, мэс заслын эмч Пүрэвээ нарт маш их талархаж байна. Цаашдын ажилд нь амжилт хүсье. /өвчтөн Т.Пагмасүрэн/",Талархал
78130,"Улсын 2-р эмнэлгийн Мэс заслын эмч Ган-Эрдэнэ, сувилагч болон бусад хамт олонд талархал илэрхийлж байна. Цаашдын ажилд нь амжилт хүсье.",Талархал
78152,СБДүүргийн цагдаагийн 1 дүгээр хэлтсийн Нямпүрэв гэдэг хүнд талархал илэрхийлэх гэсэн юм. Өчигдөр өглөө би утсаа алдсан бөгөөд өчигдөр оройдоо миний утсыг олж өгсөн юм. Тэр хүнд маш их талархаж байна. Оноо өгдөг бол хамгийн өндөр оноог нь өгөөд өгөөрэй.,Талархал
78156,ХУДүүргийн Нэгдсэн эмнэлгийн сэхээн амьдруулах тасгийн асрагч Эрдэнэбилэгт талархаж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
78160,ЧДүүргийн 18-р хорооны Улсын бүртгэгч Амгаланбаатарт талархал илэрхийлж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
78177,"Өчигдөр 100 айлаас машинаа алдаад СБД-ийн цагдаагийн 2 дугаар хэлтсийн ахлах ахлагч Амарсайхан, ахлах дэслэгч Лхагвасүрэн, ахлагч Отгонбаяр нарт талархснаа илэрхийлье миний машиныг хурдан шуурхай олж өгсөнд баярлалаа гэж хэлмээр байна. Ажлын өндөр амжилт хүсье.",Талархал
78178,БЗД-ийн цагдаагийн 1 дүгээр хэлтсийн Батмөнх ахлагчтай хамт олонд баярлалаа гэж хэлмээр байна. 10 дугаар сарын 14-нд манайд хулгай ороод түргэн шуурхай арга хэмжээ авч хулгайчийг илрүүлсэн юм. Ажлын өндөр амжилт хүсье.,Талархал
78197,"Би Говь Хангай Мебелээс 1,664,000 төгргөний  тавилга аваад Е-баримтын падаан аваагүй юмаа. Тэгээд 11-11-д  гомдол гарагсан чинь ХУД-н Татварын хэлтсийн ажилтан /нэрийн мэдэж чадсангүй утасны дугаар нь 99253378/ хүн маш түргэн шуурхай шийдэж өгсөн туйлын их баярлаж байна. Танай 11-11 төвийн хамт олон болон ХУД-н татварын хэлтсийн хамт олонд тэр тусмаа миний асуудлыг шийдэж өгсөн алба хаагчид туйлын их баярлаж ажилдан амжилт, амьдралдан аз жаргал хүсье.",Талархал
78205,"ХӨСҮТөвийн Элэгний клиник 8- р тасгийн Тасгийн эрхлэгч. Бя.Энхжаргал мөн эмчлэгч эмч Ба.Энхжаргал, сувилагч Одгэрэл, Хандхүү, Оюунчимэг, Цэвэгмид, Өнөрмөнх болон нийт тасгийн хамт олонд талархал илэрхийлье. Цаашдын ажилд нь амжилт хүсье.",Талархал
78239,БГДүүргийн Үл хөдлөх хөрөнгийн бүртгэгч Л.Оюунчимэгт талархаж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
78244,"Би Цэцэгмаа гэдэг хүн байна. Өмнө нь энэ утаснаас гомдол, хүсэлт /№1710033865/ явуулсан юм. Чингэлтэйн цагдаагийн 1 дүгээр хэлтсээс манай гомдлын дагуу хохирлыг минь барагдуулж өгсөнд, одоо талыг нь барагдуулна, баярлалаа гэж хэлэхээр залгаж байна.",Талархал
78288,"СБДүүргийн 16 дугаар төвийн вакцинжуулалтын сувилагч Батзаяад талархал илэрхийлэх гэсэн юм. Энэ хүнд маш их баярладаг. Хурдан шуурхай, эелдэг дотно хүлээж аваад зөвлөгөө өгдөг баярладаг шүү гэж хэлж, дамжуулах гэсэн юм.",Талархал
78305,"Би ХУДүүргийн 11 дүгээр хорооноос ярьж байна. Өрхийн эмнэлгийн тухай хүсэлт, санал тавих гэсэн юм. Би 67-той, манай хөгшин бас 65-тай. Бид хоёр нас ахиад, биеийн тэнхээ тамир сулидаад байдаг юм. Өрхийн эмнэлэг дээр ирэхээр их сайхан угтаж, хүлээж авдаг юм. Эмч сувилагч нарт нь баярлаж явдгаа илэрхийлэх гэсэн юм. Хүн чинь эм тарианаасаа илүү хүний сайхан инээмсэглэл, зөвлөгөөнд эрүүл болох нь холгүй байх юм. Чадалтай бол эмч, сувилагч нарыг нь шагнамаар байх юм. Энэ тухай, миний энэ талархлыг манай эмч нарт хэлж өгч, урам хайрлана уу гэж хүсэлт тавьж байна.",Талархал
78320,"БЗДүүргийн эрүүгийн мөрдөн байцаагч, Ахлах дэслэгч Г. Мөнхбаатарт баярласан, талархсанаа илэрхийлэх гэсэн юм. Манай хулгайд алдагдсан зурагтыг маань олж өгсөн юм.",Талархал
78324,"Талархал илэрхийлэх гэсэн юм. Би БГДүүргийн 20 дугаар хороонд жижиглэн худалдаа эрхэлдэг Мишгээ гэдэг хүн байна. БГДүүргийн тамгын газрын дарга Одонтуяа, орлогч Батбилэг, Хуулийн хэлтсийн дарга Батбаяр нарт бид нарын талаар асуудлыг шийдэж өгөхийн төлөө тэмцэж байгаад нь талархаж байна. Амьдралд нь сайн сайхныг хүсье.",Талархал
78327,БГДүүргийн 14-р хорооны иргэний бүртгэлийн ажилтан Билэгт талархаж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
78330,"Яаралтай түргэн тусламжийн эмч Буяндэлгэрт, жолооч Хишигдаваа нарт талархаж байна. Цаашдын ажилд нь амжилт хүсье.",Талархал
78368,"Дорноговь аймгийн Алтанцэцэг эмчтэй дотрын тасгийн хамт олонд баярласан, талархсанаа илэрхийлэх гэсэн юм. Дорноговь аймгийн Айраг сумын өндөр настан Довод гээд 89 настай хөгшин сая бөөрний дутагдалд орчихоод эмчлүүлээд гарч ирсэн юм. Хамт олонд нь бүгдэд нь баярласан, талархсанаа хэлэх гэсэн юм.",Талархал
78375,"ХӨСҮТ-ийн Амбулаторийн эрхлэгч Саруул, Чих, хамар хоолойн эмч Цагаандарь, зүрхний эмч Цэцэгдулам, мэдрэлийн эмч Оюунбилэг болон бусад хамт олонд талархаж байна. Цаашдын ажилд нь амжилт хүсье.",Талархал
78377,103-ийн Насанбат эмч жолооч Мянганбуу энэ хүмүүст талархал илэрхийлэх гэсэн юм. 10 сарын 26-нд дуудлага өгөөд гарандаа оёоо тавиулсан юм. Хурдан шуурхай үйлчилсэнд баярлалаа гэж хэлмээр байна. Ажлын өндөр амжилт хүсье.,Талархал
78445,"Яаралтай түргэн тусламжийн төвийн эмч Ариунчанар, жолооч Мөнхбат нарт талархаж байна. Цаашдын ажилд нь амжилт хүсье.",Талархал
78480,"Миний бие 2017.10.20-10.27 хооронд УБ хот БГДЭМНэгдэл Хүүхдийн эмнэлэгт охиноо сахиж эмчлүүлээд гарсан юм. Эмнэлгийн ачаалал их байсан ч эмч, эмнэлгийн ажилчдын тусламжинд маш их сэтгэл хангалуун байлаа. Дурдвал эмчлэгч эмч Мажигсүрэн болон асрагч Одончимэг нарт тусгайлан баярласнаа уламжилмаар байна. Ажилдаа чин сэтгэлээсээ хичээнгүй хандаж эмчилсэн төдийгүй Одончимэг асрагч маш ажилч хичээнгүй тав тухтай цэвэр цэмцгэр орчныг бүрдүүлж өгсөнөөр охин маань хурдан эдгээд гарсан гэж бодож байна. Хүүхдийн эмнэлгийн 4 давхрын хамт олонд ажлын амжилт хүсч, гүн талархал илэрхийлье",Талархал
78502,"Сэтгэцийн эрүүл мэндийн төвийн эмч Ганчулуун, Соёлмаа, Донтолтын эмгэг судлалын тасгийн эмч сувилагч нар талархаж байна. Цаашдын ажилд нь амжилт хүсье.",Талархал
78508,"Би БЗДүүргийн 1 дүгээр хороонд оршин суудаг юм. ""Хүн төвт"" өрхийн эмнэлгийнхээ талаар ярих гэсэн юм. Манай нөхөр хавдартай бөгөөд бид нар олон жил эндээ үйлчлүүлж байгаа юм. Эмч нар нь бид нарт цаг алдалгүй, эелдэг сайхан хандлага гаргаж, сайн үйлчилдэг. Цаг тухайд нь эмчилгээ, үйлчилгээгээ авч чадаж байгаа. Их сайн ажилдаг гэдэг талаар нь талархал илэрхийлж ярих гэсэн юм.",Талархал
78524,Хавдар судлалын эхоны их эмч Алтанбагана их сайн үйлчилсэнд баярлалаа гэж хэлмээр байна. Хөгшин хүнийг ялгахгүй их сайн үйлчилсэнд баярлалаа. Ажлын өндөр амжилт хүсье.,Талархал
78525,СХДүүргийн Эрүүл мэндийн төвийн Мэдрэлийн тасгийн хамт олонд талархаж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
78526,"Нийслэлийн цагдаагийн газрын Хэв журмын хошууч Даваадорж, ЧДүүргийн Цагдаагийн 1-р хэлтсийн дэд хурандаа Эрдэнэхүү, Төмөрбаатар, БГДүүргийн Цагдаагийн 2-р хэлтсийн Хэв журмын хэлтсийн нийт хамт олонд талархал хүргэж байна. Ажлын байрны төлөөх жагсаал, цуглаан, тэмцлийг дэмжин хамтран ажилласан. Цаашдын ажилд нь амжилт хүсье, ард иргэдтэйгээ хамтран ажиллана гэдэгт найдаж байна.",Талархал
78527,"Талархал хэлэх гэсэн юм. Би СБДүүргийн 16 дугаар хороонд байдаг юм. Би 2 хүүхэдтэйгээ амьдардаг бөгөөд манай нэг хүүхэд хөгжлийн бэрхшээлтэй юм. Би өрх толгойлсон ээж хүн. Хоёр хүүхэд маань одоо дөнгөж 2 настай бөгөөд миний амьдрал их хүнд байдаг. Манай хорооны халамжийн ажилтан Очирханд гэдэг хүн манай амьдралыг бодитоор нь харж үзээд, бодит дүгнэлт хийгээд, хурдан шуурхай арга хэмжээ авч бид нарыг хоолонд минь залгуулсан. Манай хорооны Очирханд гэдэг халамжийн ажилтанг цааш нь хэлээд, ямар сайшаал байна, тэрэнд нь уламжилж, хэлж өгөөч ээ.",Талархал
78536,УКТЭ-ийн Үе мөчний тасгийн эмч Отгонбаярт талархаж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
78549,СБДүүргийн Эрүүл мэндийн төвийн Дотрын тасгийн эмч ажилчин хамт олонд талархал хүргэж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
78553,"Би СБДүүргийн 15 дугаар хороонд амьдардаг юм. Манай өрхийн эмчийг Энхтуяа гэдэг бөгөөд Энхтуяа эмч маань их сайн эмч байгаа юм. Манай хүүхэд бид хоёр түвэнхний мултралтай юм. Манай эмч манайхаар ирж үзээд, бид нарт зөвлөгөө өгөөд, их сайн эмч, сувилагч хоёр байгаа юм. Эмчдээ баярлаж явдаг шүү гэж хэлэх гэсэн юм.",Талархал
78561,БГД-ийн цагдаагийн 2 хэлтсийн хэрэг бүртгэгч цагдаагийн дэслэгч Ж.Отгонбаярт баярлалаа гэж хэлмээр байна. Эд зүйлээ хүнд өгсөн байсан юм яаралтай шуурхай арга хэмжээ авч миний эд зүйлсийг олж өгсөн юм. Энэ хүнд ажлын өндөр амжилт хүсье. Үүнийг цааш нь уламжилж өгнө үү.,Талархал
78574,"Хан-Уул дүүргийн 16 дугаар хорооны өрхийн эмнэлгийн их эмч Уянцэцэгт баярлалаа гэж хэлмээр байна, ажлаа сайн хийдэг, хүнтэй сайхан харьцдаг, ажлын өндөр амжилт хүсье.",Талархал
78575,СБД-ийн цагдаагийн 1 дүгээр хэлтсийн эрүүгийн мөрдөгч Базраад талархал илэрхийлэх гэсэн юм. 2017 оны 11 дүгээр сарын 3-ны шөнө Чойко баарнаас Айфон 7 гар утсаа алдсан юм. Миний утсыг түргэн шуурхай олж өгсөнд баярлалаа гэж хэлмээр байна. Ажлын өндөр амжилт хүсье.,Талархал
78618,ШУГТЭмнэлгийн Харвалтын тасгийн эмч Ариунаад талархаж байна. Цаашдын ажилд нь амжилт хүсье. Өвчтөн Д.Баяраа,Талархал
78642,"Нэгдүгээр төрөхийн эмч нарт баярласан, талархсанаа илэрхийлэх гэсэн юм. Нэгдүгээр төрөхийн эх барих эмч Буян-Орших, эх барих эмч Хишигжаргал, эмчлэгч эмч Оюунтунгалаг гуравт баярлалаа гэж хэлэх гэсэн юм. Би өөрөө хүндрэлтэй төрж байсан юм. Хүүхдийг, өөрийг эсэн мэнд бойжуулсанд баярлалаа. Талархсанаа илэрхийлэх гэсэн юм.",Талархал
78648,БГДүүргийн 1-р хорооны цагдаа Энхболдод талархаж байна. Хүүхэд олдохгүй байхад олж өгч тусалсан. Цаашдын ажилд нь амжилт хүсье.,Талархал
78658,"БГДүүргийн цагдаагийн 2 дугаар хэлтсийн Хэв журмын хэлтсийн хамт олонд, түүний дотор 2 дугаар хорооны Ахлах ахлагч Чулуунсүхэд талархал дамжуулах гэсэн юм. Ил задгай худалдааг цэгцлэх тал дээр маш сайн арга хэмжээ авч, ажил сайн явуулж байна. Иймд 2018 онд, шинэ жилд сайн сайхныг хүсч мэндчилгээ дамжуулж өгнө үү, талархал дамжуулж өгнө үү. Амжилт хүсье.",Талархал
78664,Нийслэлийн иргэдийн хурлын төлөөлөгч СХД-ээс нэр дэвшсэн Отгонсүхэд баярлалаа гэж хэлсэн гэсэн юм. Тойргынхоо ажилгүй иргэдийг ажилд оруулж өгсөнд талархаж байна. Ажлын өндөр амжилт хүсье. Үүнийг цааш нь уламжилж өгнө үү.,Талархал
78670,"СХДүүргийн ИТХ-ын Гантогтохт сонгогдсон тойргийнхоо хүүхдийг цэцэрлэг, сургуулиар хангасанд маш их баярлалаа гэж хэлэх гэсэн юм.",Талархал
78672,Хан-Уул дүүргийн нэгдсэн эмнэлгийн шүдний эмч Төрбат түргэн шуурхай хүүхдийн шүдийг эмчилсэнд баярлалаа гэж хэлмээр байна. Ажлын өндөр амжилт хүсье. Үүнийг цааш нь уламжилж өгнө үү.,Талархал
78699,Талархал илэрхийлэх гэсэн юм. ЧДүүргийн Цагдаагийн 2 дугаар хэлтсийн Урьдчилан сэргийлэх ахлах байцаагч Ганзориг болон түүний хамт олонд баярлалаа. Манай хэсэгт гэр барилцсан юм. Аяны хүрээнд өгсөн гэрийг барилцаж бидний ажилд туслалцаа үзүүлсэн юм.,Талархал
78703,"ХУДүүргийн 1 дүгээр хорооны иргэн байна. ХУДүүргийн шүдний эмч Д. Төрбат гэдэг хүн их сайн шүдийг минь эмчилж өгсөн. Шүдийг минь авч, шүдийг минь эмчилж өгсөн. Жил гаруй шүд маань өвдөөгүй, их сайн байгаа. Тэр хүнд баярлалаа гэж хэлэх гэсэн юм.",Талархал
78706,Эрдэнэт хотын Замын цагдаагийн ахмад Гэрэлт-Ододо талархаж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
78730,БЗДүүргийн 25-рхороооны Баяржаргал даргатай өрхийн эмнэлгийн хамт олонд талархаж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
78740,СБДүүргийн 15-р хорооны өрхийн эмнэлгийн эмч Энхтуяад талархаж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
78746,БЗДүүргийн 22-р хорооны Дэнжийн задгайд оршин суудаг. Тогны төлбөр 8-р сараас хойш огт бичээгүй байтал одоо 1 сая гаран төлбөр нэхэмжилж байна. Асуудлыг шалгаж хариу өгнө үү.,Талархал
78750,"СХДүүргийн цагдаагийн 3 дугаар хэлтэст залилуулчихлаа гээд өргөдөл өгсөн юм. Хоногийн дотор Ахмад Эрдэнэтуяа гэдэг эмэгтэй миний гомдлын дагуу хүнийг нь олж өгч, хохирлыг минь барагдуулж өглөө. Тэр цагдаад баярласнаа хэлэх гэсэн юм.",Талархал
78751,"Хан-Уулаас хүн авсан жолооч Намнандорж, эмч Бат-Энх гэдэг хоёр хүнд талархал дэвшүүлэх гэсэн юм. Дүүргийн эмнэлэг дээр авч очиход гэмтлийн эмнэлэг шаардлагатай болсон бөгөөд гэмтлийн эмнэлэг рүү маш хурдан, яаралтай авч ирж хүүгийн минь амь насыг аварлаа. 103-ын эмч, жолооч хоёрт талархал илэрхийлье.",Талархал
78790,"БЗДүүргийн 191-р цэцэрлэгийн эрхлэгч болон багш Гадиймаа, Цэндсүрэн нарт талархаж байна. Цаашдын ажилд нь амжилт хүсье.",Талархал
78797,"Манай аавынх СХДүүргийн 25 дугаар хороонд, Зүүн салааны эцэс рүү оршин суудаг юм. 6 тооны адуугаа 01 сарын 08-ны орой бэлчээрээ алдсан юм. Бүртгүүлсэн байсан чинь ЧДүүргийн 16 дугаар хорооны байцаагч, Ахмад Чойсүрэн гэдэг хүн олж өгсөн. Чингэлтэйн 2 дугаар хэлтсийн дарга Сүрэн гэдэг хүнтэй сая уулзаад гарч ирлээ. Манай адууг олоод айлын хашаанд хашсан байгаа юм байна. Хурандаа Сүрэн даргатай энэ хамт олонд талархал илэрхийлье. Алдсан малыг минь хурдан шуурхай олж өгсөнд баярлалаа.",Талархал
78847,"БЗДүүргийн тусгай хамгаалалтын дэслэгч Н.Мөнгөнтулга, Цагдаагийн 2-р хэлтсийн дэслэгч Р.Саруулболд, ахлагч С.Плеубекк нарт талархаж байна. Цаашдын ажилд нь амжилт хүсье.",Талархал
78862,Эх нялхасын эрүүл мэндийн төвийн цусны эмгэг хавдар судлалын төвийн эмч Энхболор болон сувилагч асрагч нарт баярласаа илэрхийлэх гэсэн юм. Б. Төрмагнайгийн гэр бүлээс үүнийг цааш нь уламжилж өгнө үү.,Талархал
78881,"СХДүүргийн 31-р хорооны Өлзийт манал өрхийн эмнэлгийн дарга Тогоо, эмч Нармандах нарт талархаж байна. Цаашдын ажилд нь амжилт хүсье.",Талархал
78906,"Өчигдөр би утсаа алдаад СБДүүргийн 1 дүгээр хэлтсийн мөрдөн байцаагч Тэмүүлэн гэдэг дэслэгч дээр очсон юм. 4 цаг өнгөрч байхад өргөдөл өгч тэмдэглүүлсэн. Гэтэл 6 өнгөрөөгөөд утсыг минь олсон, 2 цагийн дотор түргэн шуурхай үйлчилж, сайн ажиллаж олж өгсөн. Дэслэгч Тэмүүлэнд баярласнаа илэрхийлж байна.",Талархал
78907,"УКТЭмнэлгийн Урологийн тасгийн эмч Содгэрэл, Хонгорзул болон бусад хамт олонд талархаж байна. Цаашдын ажилд нь амжилт хүсье.",Талархал
79027,"Гуравдугаар эмнэлгийн Чих, хамар, хоолойн эмч Төрмөнх болон тэдний хамт олонд баярласан, талархсанаа илэрхийлэх гэсэн юм. Охин Отгонзаяаг маань эмчилж өгсөн юм. Өвчнийг нь анагааж, оношийг нь сайн тодруулж өгсөн эмчдээ талархал илэрхийлье.",Талархал
79038,БЗДүүргийн Цагдаагийн хэлтэс болон Нарантуул захын цагдаагийн хэлтсийн алба хаагч нарт талархаж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
79039,"Гуравдугаар эмнэлгийн хамт олонд баярлаж, талархсанаа илэрхийлэх гэсэн юм. Даваацэрэн ахлагчтай зүрхний мэс заслын хамт олонд баярлалаа. Манай нөхөр Д. Цог-Очир зүрхний маш хүнд мэс засалд орсон юм. Маш амжилттай хагалгаа хийгдсэн учраас энэ баг, хамт олонд маш их баярласнаа хэлэх гэсэн юм. Цог-Очир өөрөө болон гэр бүл, ах дүүсийн өмнөөс талархал илэрхийлж байна. Даваацэрэн ахлагчтай эмч Бат-Ундрал, Булган, Ундармаа болон ангиографын эмч Дамдинсүрэн нарт баярласнаа илэрхийлээд, та бүгдэд аз жаргал, сайхан бүхнийг хүсье. Уламжилж өгнө үү.",Талархал
79042,ЧДүүргийн Цагдаагийн хэлтсийн цагдаа Чимэдцэрэнд талархаж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
79049,"Нийслэлийн Түргэн тусламжийн төвийн 3-р ээлжийн их эмч Мөнхзаяа, 1-р ээлжийн жолооч Алтаншагай нарт талархал илэрхийлж байна. Цаашдын ажилд нь амжилт хүсье.",Талархал
79058,ШУГТЭмнэлгийн Нүдний мэс заслын эмч Мөнхзулд талархал илэрхийлж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
79059,"БГДүүргийн Цагдаагийн хэлтсийн ахлах дэслэгч Ч.Бат-Ирээдүй, ахлах дэслэгч Ч.Мөнхбаатар нарт талархаж байна.",Талархал
79062,БЗД-ийн цагдаагийн 2 дугаар хэлтсийн ахлах дэслэгч Мөнхбаатарт баярлалаа гэж хэлмээр байна. Алга болсон зурагтыг маань хурдан шуурхай олж өгсөнд баярлалаа гэж хэлмээр байна. Үүнийг цааш нь уламжилж өгнө үү.,Талархал
79074,Чингэлтэй дүүргийн 17 дугаар хорооноос ярьж байна. 17 дугаар хорооны Засаг дарга Хүрэлбаатар болон хэсгийн ахлагч Батбаяр нарт ажлын өндөр амжилт хүсье. Удахгүй болох сар шинэдээ сайхан шинэлэээрэй.,Талархал
79076,"Дорноговь аймгийн Сайншанд сумын 3-р багийн иргэн Доржпүрэвийн гэр бүлээс аймгийн Ардын уламжлалт эмнэлгийн ажилчин хамт олон, сувилагч, үйлчлэгч нарт талархал илэрхийлж байна. Цаашдын ажилд нь амжилт хүсье.",Талархал
79077,"Өнөөдөр ажиллаж байгаа Ерөнхий сайдын бага бүрэлдэхүүнд баярласнаа илэрхийлэх гэсэн юм. Учир нь иргэдийн асуудлыг шийдвэрлэхэд Засгийн газрын 2017 оны 10 дугаар сарын 10-ны өдрийн төрийн албан хаагчид албан даалгавар өгсөн байдаг. Үүн дээр сахилга батыг сайжруулах төрийн албанд ажиллаж байгаа иргэдэд хариуцлагатай байх чиглэлээр тэдгээрт хариуцлага тооцох албан даалгаварыг өгсөн байдаг. Энэ даалгавар маш сайн хэрэгжиж иргэдийн асуудал маш хурдан шийдвэрлэгдэж чадсанд баярлаж байна. Ерөнхий сайдын бүрэлдэхүүнд ажиллаж байгаа Шадар сайд, Хууль зүй, дотоод хэргийн сайд, Байгаль орчин, аялал жуулчлалын сайд, Тусгай хамгаалалтын газар нутгийн удирдлагын газрын дарга Батсансар, ахлах мэргэжилтэн Гал, богд хаан уулын дархан цаазт хамгаалалттай захиргааны газрын дарга Дуламсүрэн нартаа баярлаж байна. Иргэдийнхээ асуудлыг хурдан шуурхай шийдвэрлэж өгсөнд баярлалаа гэж хэлмээр байна. Үүнийг цааш нь уламжилж дамжуулж өгнө үү.",Талархал
79078,"3 дугаар эмнэлгийн зүрхний тасгийн их эмч Цолмон, сувилагч Тогоохүү нарт баярласнаа илэрхийлэх гэсэн юм. Уг нь цаг авах шаардлагатай гэж байсан юм ирээгүй хүний оронд үзээд зөвлөгөө өгөөд их сайхан үйлчилсэн юм. Ажлын өндөр амжилт хүсье.",Талархал
79085,ШУГТЭмнэлгийн Зөвлөх поликлиникийн цэвэр боолтын сувилагч Д.Загдаад талархаж байна. Цаашдын ажилд нь амжилт хүсье.,Талархал
79112,"ЭХЭМҮТөвийн Ерөнхий мэс заслын тасаг болон Унтуулгийн тасгийн хамт олонд баярлаж талархаж байна. Мэс заслыг ахлан хийсэн мэс заслын эмч клиникийн профессор Ц.Ганхуяг, эмч Өнөржаргал, унтуулгийн эмч Золзаяа нарт болон бусад сувилагч асрагч нарт талархалыг хүргэж өгнө үү. Цаашдын ажилд нь амжилт хүсье. Өвчтөн Сэргэлэнбаярын гэр бүлээс.",Талархал
79147,"Өчигдөр орой гэртээ дүүдээ буруу тариа хийгээд, маш хүнд байдалд ороод шөнийн дуудлагын 103-ыг дуудсан юм. 103 надад маш шуурхай үйлчилгээ үзүүллээ. Маш их баярлалаа. Дараа нь ХУДүүргийн түргэний эмч Д. Лхагважав, жолооч Б. Эрдэнэбилэг гээд 22-60 дугаартай ХУДүүргийн түргэн ирээд дүүг маань мэргэжлийн өндөр төвшинд маш сайхан эмчилж, амийг нь аварлаа.",Талархал
79151,"Шастины нэрэмжит Улсын Төв Гуравдугаар эмнэлгийн Их эмч Дашцэрэн, Булган, Алтанзул нарт мэндчилгээ өгөх гэсэн юм. Би Баян-Өлгий аймгаас ирсэн юм. Манай эхнэр Серекүл гэж хүн зүрхний хагалгаанд ороод нилээн сайжирч байна. Би нь маш муу ирсэн. Энэ 3 эмч хагалгаа хийгээд зүгээр болж байна. Сэтгэлээсээ мэндчилгээ дэвшүүлэх гэсэн юм.",Талархал
79169,"Монголын татварын албанд Асуулт, Талархал  1. Юуны өмнө e-tax цахим тайлан авдаг болсонд их баярлаж явдаг. Мөн e-barimt системийг Монголчууд өөрсдөө хийсэн, бас их том хэмжээний боловч найдвартай сайн ажилладаг гэж боддог. Та бүхний ажил үйлсэд өндөр амжилт хүсье.   2. Бас нэг зүйл тодруулж асуух гэсэн юм. Компани хүн цалинжуулахгүйгээр үйл ажиллагаа явуулах боломжтой юу? Би өөрөө ажиллуулдаг ганц хүний компани юм. ",Талархал
79175,Нийслэлийн цагдаагийн газрын Мөрдөн шалгах газрын Хулгайн гэмт хэрэгтэй тэмцэх хэлтсийн хамт олон алба хаагч нарт талархаж байна. 2018 оны 3-р сарын 12-13 шилжих шөнө машины аккумляторийг хулгайд алдсан асуудлыг яаралтай олж өгсөн. Цаашдын ажилд нь ажилт хүсье.,Талархал
